feature,mean_percentile,min_percentile,mean_f,group
mfcc_01_mean,0.8533834586466166,0.6654135338345865,25.93563070750764,MFCC
mfcc_01_std,0.5839598997493735,0.5526315789473685,9.808391529212665,MFCC
mfcc_02_mean,0.7694235588972432,0.5488721804511278,17.234689624874704,MFCC
mfcc_02_std,0.7581453634085212,0.5902255639097744,14.152397491604773,MFCC
mfcc_03_mean,0.8057644110275689,0.5150375939849624,23.285240468943787,MFCC
mfcc_03_std,0.7719298245614036,0.7368421052631579,15.04214455802804,MFCC
mfcc_04_mean,0.8922305764411028,0.7293233082706767,32.037957848783776,MFCC
mfcc_04_std,0.6390977443609023,0.48872180451127817,12.342558626343672,MFCC
mfcc_05_mean,0.8596491228070176,0.8082706766917294,22.695214164847656,MFCC
mfcc_05_std,0.7919799498746868,0.5037593984962406,21.715454513069016,MFCC
mfcc_06_mean,0.9411027568922306,0.9097744360902256,30.618372186072293,MFCC
mfcc_06_std,0.68796992481203,0.43609022556390975,15.214738142890392,MFCC
mfcc_07_mean,0.34711779448621555,0.3082706766917293,5.739664812778895,MFCC
mfcc_07_std,0.650375939849624,0.46616541353383456,12.565038301280614,MFCC
mfcc_08_mean,0.5350877192982456,0.4323308270676692,8.56077057108571,MFCC
mfcc_08_std,0.6491228070175439,0.5488721804511278,11.716063630569836,MFCC
mfcc_09_mean,0.7205513784461153,0.6428571428571429,13.642100428223126,MFCC
mfcc_09_std,0.5676691729323308,0.39849624060150374,10.248289281544464,MFCC
mfcc_10_mean,0.7631578947368421,0.5338345864661654,16.328658359917245,MFCC
mfcc_10_std,0.4197994987468672,0.24812030075187969,7.468102551902067,MFCC
mfcc_11_mean,0.9761904761904762,0.9661654135338346,40.175804978175485,MFCC
mfcc_11_std,0.5488721804511278,0.4473684210526316,10.622704554249013,MFCC
mfcc_12_mean,0.8095238095238094,0.5864661654135338,19.559452521497093,MFCC
mfcc_12_std,0.43734335839599,0.3082706766917293,7.884438251458214,MFCC
mfcc_13_mean,0.9799498746867168,0.9774436090225563,40.971061777846195,MFCC
mfcc_13_std,0.48370927318295737,0.45864661654135336,7.977995119297751,MFCC
mfcc_14_mean,0.4273182957393484,0.38721804511278196,7.178841385399726,MFCC
mfcc_14_std,0.4724310776942356,0.3383458646616541,7.700874555269459,MFCC
mfcc_15_mean,0.8596491228070176,0.7744360902255639,20.132273219676083,MFCC
mfcc_15_std,0.5576441102756892,0.40225563909774437,8.653007760305577,MFCC
mfcc_16_mean,0.5,0.40977443609022557,8.002995608056919,MFCC
mfcc_16_std,0.4711779448621554,0.3383458646616541,7.2663517763532495,MFCC
mfcc_17_mean,0.2656641604010025,0.19924812030075187,4.251692160866594,MFCC
mfcc_17_std,0.33709273182957394,0.2857142857142857,5.228426708733555,MFCC
mfcc_18_mean,0.47493734335839594,0.40601503759398494,8.6282444801462,MFCC
mfcc_18_std,0.4423558897243107,0.40601503759398494,7.328689684038827,MFCC
mfcc_19_mean,0.7731829573934837,0.6541353383458647,14.520837208900796,MFCC
mfcc_19_std,0.456140350877193,0.39473684210526316,7.443564782120589,MFCC
