representation,experiment,accuracy,balanced_accuracy,macro_f1,top3_accuracy,macro_ovr_auc
Handcrafted+RBF-SVM,full,0.8846153846153846,0.8811547554100745,0.8840138172553459,0.979757085020243,0.9765317645141782
MERT95M+LR,full,0.9392712550607287,0.937929131054131,0.938404169532043,0.9878542510121457,0.9959457252638618
Handcrafted+RBF-SVM,strict_balanced_controlled,0.7543859649122807,0.7543859649122807,0.7446943667531903,0.9385964912280702,0.9534332242088476
MERT95M+LR,strict_balanced_controlled,0.8991228070175439,0.8991228070175438,0.8980360828884577,0.9912280701754386,0.9919625619071603
