layer,val_accuracy,val_balanced_accuracy,val_macro_f1,val_top3,val_macro_ovr_auc
0,0.8088235294117647,0.8088235294117646,0.8087944735003557,0.9754901960784313,0.9805756527209814
1,0.8480392156862745,0.8480392156862745,0.8479813471923728,0.9852941176470589,0.9853989724231939
2,0.8676470588235294,0.8676470588235294,0.8670164929771191,0.9901960784313726,0.988151410296739
3,0.8725490196078431,0.8725490196078431,0.8707440306422836,0.9656862745098039,0.9887805389535491
4,0.8578431372549019,0.8578431372549019,0.8566729066729066,0.9901960784313726,0.9902747195134737
5,0.8725490196078431,0.8725490196078431,0.8695255579861841,0.9705882352941176,0.9862378106322742
6,0.8480392156862745,0.8480392156862745,0.8456042071791599,0.9705882352941176,0.9869980077592535
7,0.8578431372549019,0.8578431372549019,0.8513002226624518,0.9852941176470589,0.9875222816399288
8,0.8529411764705882,0.8529411764705882,0.8473288414464886,0.9852941176470589,0.989383453916326
9,0.8725490196078431,0.872549019607843,0.8720260453019074,0.9852941176470589,0.9903009332075077
10,0.8823529411764706,0.8823529411764706,0.8819895097061613,0.9754901960784313,0.9885708294012793
11,0.8529411764705882,0.8529411764705882,0.8575344264208192,0.9754901960784313,0.9842193561916744
12,0.8382352941176471,0.8382352941176471,0.8370334772196726,0.9558823529411765,0.9765125301457482
