representation,experiment,split,best_layer,accuracy,balanced_accuracy,macro_f1,top3_accuracy,macro_ovr_auc
MERT95M,strict_balanced_controlled,val,10,0.8823529411764706,0.8823529411764706,0.8819895097061613,0.9754901960784313,0.9885708294012793
MERT95M,strict_balanced_controlled,test,10,0.8991228070175439,0.8991228070175438,0.8980360828884577,0.9912280701754386,0.9919625619071603
