representation,experiment,level,split,best_layer,accuracy,balanced_accuracy,macro_f1,top3_accuracy,macro_ovr_auc
MERT95M,full,segment,val,10,0.8506401137980085,0.8505852151916499,0.849166978617022,0.9765291607396871,0.9860388147689266
MERT95M,full,segment,test,10,0.8441196938065414,0.8392006753753206,0.8415650562950013,0.977731384829506,0.9872976218936206
MERT95M,full,track,val,10,0.937888198757764,0.9370863526570048,0.9395684950296544,1.0,0.9960207885479893
MERT95M,full,track,test,10,0.9392712550607287,0.937929131054131,0.938404169532043,0.9878542510121457,0.9959457252638618
