layer,val_segment_accuracy,val_segment_macro_f1,val_track_accuracy,val_track_balanced_accuracy,val_track_macro_f1,val_track_top3,val_track_macro_ovr_auc
0,0.7958748221906117,0.7900794213366921,0.8592132505175983,0.8456928428319985,0.8469156201358078,0.9917184265010351,0.988340705418782
1,0.8428165007112376,0.8410081698209892,0.9130434782608695,0.9084508372966834,0.9077554453169672,0.9855072463768116,0.9923550866115408
2,0.8499288762446657,0.8447979966005974,0.9109730848861284,0.8979570114533884,0.9016101983829109,0.989648033126294,0.991465294255455
3,0.8428165007112376,0.8377590264071259,0.9130434782608695,0.9068074725864582,0.9093609967517217,0.9834368530020704,0.9916539180769902
4,0.8499288762446657,0.8465992920973769,0.917184265010352,0.9057806629092862,0.9073465907950095,0.9958592132505176,0.993727249624259
5,0.8413940256045519,0.8418476669214172,0.9151138716356108,0.911409343162798,0.9140561872898036,0.989648033126294,0.9927484260595799
6,0.84850640113798,0.8464289083311468,0.9109730848861284,0.9029647261855721,0.9055014098491593,0.989648033126294,0.9935717729042549
7,0.8470839260312945,0.846255094637223,0.9192546583850931,0.9160622167921209,0.919044253096287,0.989648033126294,0.9933316411622243
8,0.8428165007112376,0.8444487819988588,0.9047619047619048,0.9039419806139136,0.9035661732001831,0.9958592132505176,0.9947082646915315
9,0.84850640113798,0.844655842384549,0.9296066252587992,0.9253975442834138,0.9251097915593337,0.9979296066252588,0.995587125262857
10,0.8506401137980085,0.849166978617022,0.937888198757764,0.9370863526570048,0.9395684950296544,1.0,0.9960207885479893
11,0.8186344238975818,0.8154247392284804,0.917184265010352,0.9027801161096578,0.9071468160799339,0.9937888198757764,0.9946440497763002
12,0.8001422475106685,0.7957703928302697,0.8944099378881988,0.8833647059696098,0.8861876412694842,0.9855072463768116,0.9905521245325201
