condition,roc_auc,eer,balanced_accuracy,real_fpr,fake_miss_rate,auc_drop_from_original
original,0.9845254161043635,0.07381916329284749,0.9363247863247863,0.08888888888888889,0.038461538461538464,0.0
mp3_128,0.9851102114260009,0.07078272604588393,0.9444219523166891,0.08888888888888889,0.022267206477732792,-0.0005847953216373547
mp3_64,0.9605038236617185,0.1102114260008997,0.8484705353126406,0.28888888888888886,0.01417004048582996,0.024021592442645012
