condition,model,level,selected_mert_layer,lr_C,n_total,n_real,n_fake,roc_auc,pr_auc,eer,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,threshold_used,tn,fp,fn,tp
original,MERT+LR,segment,4,0.01,1572,135,1437,0.9730972447743499,0.9971602824825951,0.0807546586252223,0.9220289182710895,0.8175595132717252,0.08148148148148149,0.0744606819763396,0.5685665621681771,124,11,107,1330
original,MERT+LR,track,4,0.01,539,45,494,0.9845254161043635,0.9983362835855492,0.07381916329284749,0.9363247863247863,0.8786570743405275,0.08888888888888889,0.038461538461538464,0.5887511404871456,41,4,19,475
mp3_128,MERT+LR,segment,4,0.01,1572,135,1437,0.9737158174179746,0.9972901890516117,0.08145055284930025,0.9173045697054047,0.8438182045439249,0.1111111111111111,0.054279749478079335,0.5685665621681771,120,15,78,1359
mp3_128,MERT+LR,track,4,0.01,539,45,494,0.9851102114260009,0.9984220621001632,0.07078272604588393,0.9444219523166891,0.9150351524322962,0.08888888888888889,0.022267206477732792,0.5887511404871456,41,4,11,483
mp3_64,MERT+LR,segment,4,0.01,1572,135,1437,0.9450346658419032,0.9942537412247159,0.13208072372999302,0.8339828346091394,0.8099319680658125,0.28888888888888886,0.04314544189283229,0.5685665621681771,96,39,62,1375
mp3_64,MERT+LR,track,4,0.01,539,45,494,0.9605038236617185,0.9957138982273696,0.1102114260008997,0.8484705353126406,0.8708920187793427,0.28888888888888886,0.01417004048582996,0.5887511404871456,32,13,7,487
