experiment,accuracy,balanced_accuracy,macro_f1,top3_accuracy,macro_ovr_auc
full,0.8846153846153846,0.8811547554100745,0.8840138172553459,0.979757085020243,0.9765317645141782
controlled_12,0.7719869706840391,0.8003759398496241,0.8063532311281142,0.9641693811074918,0.964077702133362
strict_balanced_controlled,0.7543859649122807,0.7543859649122807,0.7446943667531903,0.9385964912280702,0.9534332242088475
