group,n_features,mean_f,median_f,max_f
RMS,2,178.00069289117386,178.00069289117386,195.28187066358396
Flatness,2,135.10162762241055,135.10162762241055,158.59833192492076
ZCR,2,71.07924912653277,71.07924912653277,75.72646756056545
Contrast,14,64.4725471990139,18.89295763594594,582.803141053295
Centroid,2,61.38596411015433,61.38596411015433,62.293577707542504
Bandwidth,2,46.35714594178569,46.35714594178569,48.01586954750782
Rolloff,2,44.63341087815566,44.63341087815566,47.88262020126248
MFCC,240,21.775972802299382,18.004769063300056,116.57993150941667
