model,genre,n_tracks,accuracy,balanced_accuracy,macro_f1
Handcrafted+RBF-SVM,Electronic,84,0.6904761904761905,0.6904761904761904,0.6734144940027292
Handcrafted+RBF-SVM,Pop,60,0.8,0.8000000000000002,0.7718404280904281
Handcrafted+RBF-SVM,Rock,84,0.7857142857142857,0.7857142857142857,0.7779685592185591
MERT95M+LR,Electronic,84,0.8809523809523809,0.8809523809523809,0.8767080142080141
MERT95M+LR,Pop,60,0.9666666666666667,0.9666666666666668,0.9666666666666668
MERT95M+LR,Rock,84,0.8690476190476191,0.8690476190476191,0.8700091575091574
