experiment,level,split,accuracy,balanced_accuracy,macro_f1,top3_accuracy,macro_ovr_auc
full,segment,val,0.7759601706970128,0.7761108443891328,0.7717741948015565,0.9445234708392604,0.9575616131634561
full,segment,test,0.7780097425191371,0.777827559556283,0.7748028593881194,0.9401530967292971,0.9534738475933205
full,track,val,0.8799171842650103,0.8742785546008497,0.8735360115334988,0.9751552795031055,0.9814900686682027
full,track,test,0.8846153846153846,0.8811547554100745,0.8840138172553459,0.979757085020243,0.9765317645141782
controlled_12,segment,val,0.6939281288723668,0.7263614820374366,0.7275158730839902,0.9231722428748451,0.9438260042111501
controlled_12,segment,test,0.6929046563192904,0.7334099136730715,0.7264912621952965,0.9068736141906873,0.9328701229270658
controlled_12,track,val,0.8290909090909091,0.8333046668959981,0.8395273320328572,0.9672727272727273,0.973501333082854
controlled_12,track,test,0.7719869706840391,0.8003759398496241,0.8063532311281142,0.9641693811074918,0.9640777021333619
