genre,n_tracks,accuracy,balanced_accuracy,macro_f1,top3_accuracy
Electronic,167,0.8622754491017964,0.8359788359788359,0.8392168908227057,0.9820359281437125
Pop,131,0.8778625954198473,0.8889880952380954,0.8860003368308426,0.9770992366412213
Rock,196,0.9081632653061225,0.9068627450980392,0.9080041791813228,0.9795918367346939
