model,level,split,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp
LogisticRegression,segment,val,0.9143820854347171,0.9892215964681197,0.15884844174317858,0.6663391213946953,0.8411515582568214,0.6914541298735468,0.1590909090909091,0.15860597439544807,111,21,223,1183
LogisticRegression,segment,test,0.8775947833707054,0.9853215892961439,0.1988169798190675,0.6663391213946953,0.7946184180004638,0.6633112015420861,0.24444444444444444,0.1663187195546277,102,33,239,1198
LogisticRegression,track,val,0.9620741577263316,0.9960555803011097,0.10754281949934125,0.6059354207239731,0.8924571805006587,0.7661703805955433,0.11363636363636363,0.10144927536231885,39,5,49,434
LogisticRegression,track,test,0.9176338281601438,0.990237623893814,0.13850652271704905,0.6059354207239731,0.8615159694107062,0.7523477111327858,0.17777777777777778,0.09919028340080972,37,8,49,445
RBF-SVM,segment,val,0.9335235354972198,0.992821810651664,0.14309345230397863,0.9258082151422282,0.8569065476960214,0.7123134280552957,0.14393939393939395,0.1422475106685633,113,19,200,1206
RBF-SVM,segment,test,0.9261578906672852,0.9915318225971311,0.14749091471429676,0.9258082151422282,0.8462692337431377,0.7115115115115115,0.17037037037037037,0.1370911621433542,112,23,197,1240
RBF-SVM,track,val,0.9569452286843592,0.9950695723886201,0.10754281949934125,0.8784699961277153,0.8924571805006587,0.7661703805955433,0.11363636363636363,0.10144927536231885,39,5,49,434
RBF-SVM,track,test,0.9644174538911381,0.9965453527668517,0.13954116059379218,0.8784699961277153,0.8695906432748538,0.7501983425631358,0.15555555555555556,0.10526315789473684,38,7,52,442
