holdout_generator,model,level,test_type,selected_mert_layer,lr_C,val_eer,n_total,n_real,n_fake,roc_auc,pr_auc,eer,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,threshold_used,tn,fp,fn,tp
musicgen,MERT+LR,segment,unseen_generator,4,0.01,0.09701063097695832,270,135,135,0.9143484224965706,0.9029562957402275,0.16296296296296298,0.8111111111111111,0.8094776893808371,0.0962962962962963,0.2814814814814815,0.5975149120025461,122,13,38,97
musicgen,MERT+LR,track,unseen_generator,4,0.01,0.05000000000000001,90,45,45,0.9407407407407408,0.9112948205913376,0.08888888888888888,0.8555555555555556,0.855108359133127,0.08888888888888889,0.2,0.5838492782058293,41,4,9,36
udio,MERT+LR,segment,unseen_generator,4,0.01,0.08247490755414685,279,135,144,0.8861625514403293,0.8970773564388721,0.20069444444444443,0.7858796296296297,0.7784474790736425,0.07407407407407407,0.3541666666666667,0.5778698346950816,125,10,51,93
udio,MERT+LR,track,unseen_generator,4,0.01,0.04686520376175548,93,45,48,0.9180555555555555,0.9147636998313037,0.12916666666666665,0.8097222222222222,0.8053488372093023,0.08888888888888889,0.2916666666666667,0.589972275429367,41,4,14,34
