holdout_generator,model,level,test_type,n_total,n_real,n_fake,val_eer,pr_auc,roc_auc,eer,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,threshold_used,tn,fp,fn,tp
musicgen,RBF-SVM,track,unseen_generator,90,45,45,0.0943181818181818,0.5885891956603841,0.6123456790123457,0.4,0.5222222222222223,0.4668687146989943,0.1555555555555555,0.8,0.8701743820784932,38,7,36,9
musicgen,Log-Mel CNN,track,unseen_generator,90,45,45,0.0636363636363636,0.8675908038997637,0.8681481481481481,0.2666666666666667,0.7333333333333334,0.7285067873303167,0.1333333333333333,0.4,0.2816530466079712,39,6,18,27
musicgen,MERT+LR,track,unseen_generator,90,45,45,0.05,0.9112948205913376,0.9407407407407408,0.0888888888888888,0.8555555555555556,0.855108359133127,0.0888888888888888,0.2,0.5838492782058293,41,4,9,36
udio,RBF-SVM,track,unseen_generator,93,45,48,0.1154388714733542,0.8804386693199412,0.8541666666666667,0.2368055555555555,0.7361111111111112,0.7266313932980599,0.1111111111111111,0.4166666666666667,0.8890169324992475,40,5,20,28
udio,Log-Mel CNN,track,unseen_generator,93,45,48,0.0832549634273772,0.8287728380558291,0.8226851851851852,0.2145833333333333,0.7652777777777777,0.7631944444444445,0.1777777777777777,0.2916666666666667,0.233149453997612,37,8,14,34
udio,MERT+LR,track,unseen_generator,93,45,48,0.0468652037617554,0.9147636998313036,0.9180555555555556,0.1291666666666666,0.8097222222222222,0.8053488372093023,0.0888888888888888,0.2916666666666667,0.589972275429367,41,4,14,34
