layer,val_segment_roc_auc,val_segment_eer,val_track_roc_auc,val_track_eer,val_track_threshold
0,0.9288924091555671,0.13503814819604293,0.9331357048748353,0.11685958968567667,0.7360479546405284
1,0.9303256605888185,0.15020582783740677,0.9432523997741389,0.148927159796725,0.8763039228251079
2,0.9335531703952755,0.15434932540195695,0.9465932618106531,0.09097967250141165,0.7482805077532385
3,0.9315541618173195,0.14593840251734985,0.9467814793901749,0.13652832674571808,0.9205607351313333
4,0.9398465451097031,0.10423940687098582,0.9503576134010916,0.10135516657255787,0.834937314846298
5,0.9391245312297944,0.14001681106944264,0.9526162243553548,0.11375399962356486,0.8881881103719848
6,0.9581555239449976,0.08469653864390705,0.9710144927536232,0.09617918313570488,0.8874173220602231
7,0.9620834949782319,0.12035001508685722,0.9695087521174477,0.12100037643515904,0.9608441358226689
8,0.9504288977973189,0.12804970041812147,0.9520045172219085,0.12203557312252966,0.9065679676726198
9,0.9544430794430794,0.09132936764515713,0.9581215885563712,0.08996800301148127,0.8364592311843411
10,0.9584734255786889,0.12141687141687141,0.9634387351778656,0.10340203274985882,0.8958821773089669
11,0.9498846933057459,0.11336156730893576,0.9556747600225861,0.11478919631093543,0.891221713163786
12,0.9399596965386439,0.1151396611922928,0.9472049689440993,0.13132881611142483,0.8643497048035451
