file_name,segment_role,start_sec,end_sec,duration_sec,source_sample_rate_hz,channels,format,subtype,bytes,average_bitrate_bps,sha256
01.wav,start,0.0,10.0,29.94,32000,1,WAV,PCM_16,1916204,512011.75684702734,518b1ad6174bb9462a7ce8bf795e7a7f0a919762f29933ccd47f9723ab620024
02.mp3,start,0.0,10.0,29.976583333333334,44100,2,MP3,MPEG_LAYER_III,720629,192317.8480980988,f9a3cfa7a4fddad7c5f74b3856cb650a0879156a64a32633dd770a8b7aa4ff2f
