model,level,split,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp
LogMelCNN,segment,val,0.9632311737574897,0.9962863537971454,0.08990689253847149,0.04316171258687973,0.9100931074615285,0.7929226169826136,0.09090909090909091,0.08890469416785206,120,12,125,1281
LogMelCNN,segment,test,0.9520296914868939,0.9948056352773063,0.13486430062630478,0.04316171258687973,0.87907678032939,0.779466187040615,0.15555555555555556,0.08629088378566457,114,21,124,1313
LogMelCNN,track,val,0.9882364012798796,0.9988634385657885,0.04550159984942594,0.09354320168495178,0.9544984001505741,0.8762038994597134,0.045454545454545456,0.045548654244306416,42,2,22,461
LogMelCNN,track,test,0.9772379667116509,0.997756168921893,0.10416104363472783,0.09354320168495178,0.9110661268556006,0.8535212361208169,0.13333333333333333,0.044534412955465584,39,6,22,472
